Размер массива,Время создания (нс),Время добавления (нс),Время удаления (нс),Время запросов суммы (нс);
100,53000, 418900, 250900, 4300
1100,225700, 10451400, 4211400, 4900
1200,48700, 6287100, 6130100, 5200
1300,19900, 1664600, 1467900, 3300
1400,16500, 2393900, 2757800, 8700
1500,21000, 3102500, 3976800, 9400
1600,21500, 4854200, 9357600, 7100
1700,16600, 5066300, 5415600, 10400
1800,35000, 6619800, 3093700, 11800
1900,8700, 1874800, 2315300, 6900
2000,24000, 2679400, 3863400, 7400
200,1700, 40900, 32500, 2200
2100,16200, 5558300, 7006400, 6000
2200,11600, 2947300, 2817900, 6100
2300,15200, 2454200, 2427600, 5800
2400,13400, 4036800, 2902800, 7200
2500,10100, 4467300, 6735200, 6300
2600,18900, 4992600, 3038900, 5200
2700,17000, 3529400, 3261800, 6000
2800,9900, 3452400, 3608600, 5500
2900,11200, 8482200, 10149000, 6400
3000,32700, 9956000, 5538100, 6800
300,3000, 161000, 106500, 2700
3100,16300, 4491800, 4271100, 5600
3200,12500, 6872200, 4829000, 5900
3300,12800, 4813500, 5077700, 5700
3400,16600, 5342700, 5147800, 6000
3500,14600, 7657100, 5338700, 8200
3600,13400, 5463800, 5477400, 4900
3700,13000, 8332200, 6583500, 6300
3800,13600, 6522200, 6983800, 7000
3900,16900, 11648700, 16589700, 7200
4000,34600, 9598000, 6868700, 6500
400,2500, 79900, 72200, 2200
4100,18700, 9217200, 10575400, 7100
4200,19800, 9092300, 9864700, 6300
4300,19000, 10426800, 10573100, 6000
4400,16000, 9968800, 9535000, 6200
4500,16400, 9098500, 11956600, 6200
4600,24400, 9834500, 11075000, 6400
4700,16800, 17762100, 19044000, 7600
4800,21200, 14185800, 12068500, 6000
4900,27500, 15275600, 12287000, 7600
5000,32900, 10801800, 12424700, 6000
500,4300, 174200, 100300, 2500
5100,22800, 13142000, 11168600, 6300
5200,17100, 12753900, 12207300, 6100
5300,21400, 11477700, 11590400, 6400
5400,18300, 12714000, 13286900, 6200
5500,29700, 13201900, 16095700, 5800
5600,18300, 17773500, 14350500, 8900
5700,59000, 26980500, 14411100, 6100
5800,18100, 12896300, 14758400, 5800
5900,20600, 13132200, 14677100, 7100
6000,18000, 14676200, 14982500, 6700
600,3700, 205900, 198600, 3400
6100,17400, 13240900, 16421800, 5300
6200,17200, 13424100, 15584600, 5400
6300,18900, 14281500, 13795900, 11000
6400,18900, 15307100, 15839900, 6700
6500,20500, 14048900, 18367300, 5900
6600,27300, 31591100, 16750200, 5700
6700,21900, 15010600, 17446100, 16500
6800,27000, 18157700, 16139600, 7200
6900,18900, 18143600, 16302000, 6700
7000,20600, 18046000, 16337300, 6500
700,5700, 384800, 184100, 1700
7100,19600, 38730100, 22823100, 5400
7200,32000, 22969600, 18537900, 5700
7300,41100, 38127800, 22598000, 6400
7400,30100, 18857200, 21065000, 4800
7500,22700, 19290000, 21073600, 6400
7600,20300, 22149300, 19563500, 4800
7700,25200, 22609600, 20126200, 5400
7800,21300, 22099900, 21716300, 5800
7900,20000, 23151200, 22384900, 26100
8000,25500, 24141300, 21516600, 25000
800,2500, 205400, 210200, 3000
8100,21400, 25586200, 22303100, 8400
8200,22200, 27243700, 23052100, 7900
8300,23100, 25258100, 25298700, 8500
8400,22700, 23971000, 25680200, 7400
8500,27600, 26399800, 27997800, 9600
8600,32500, 25435400, 28725100, 8200
8700,28800, 27126700, 35293500, 8100
8800,24700, 27335200, 25897700, 10100
8900,26500, 29771900, 31920800, 6300
9000,25900, 27784600, 29734100, 8200
900,2800, 280900, 273700, 2900
9100,25600, 31703400, 30819800, 8400
9200,24800, 33572200, 29292400, 9200
9300,24900, 30800800, 33522800, 11600
9400,27300, 32027400, 30223800, 11000
9500,28500, 32582300, 31517300, 7100
9600,26000, 31214000, 33566600, 8500
9700,26900, 32614700, 33210100, 7500
9800,28100, 31780600, 37847500, 12000
9900,31200, 39073600, 34187100, 6900
10000,31600, 35106200, 35255100, 8500
1000,3100, 324000, 326700, 2200
